at (ms),pos (0-100)
533,38
633,29
733,48
833,1
933,61
1033,69
1200,38
1333,34
1433,48
1533,0
1633,65
1733,35
1833,12
1933,66
2033,63
2133,14
2233,13
2333,11
2433,12
2533,10
2633,5
2733,48
2833,1
2933,61
3033,10
3133,12
3233,60
3333,65
3433,28
3533,86
3633,74
3733,37
3833,37
3933,64
4033,65
4133,86
4233,94
4333,74
4433,35
4533,40
4633,72
4733,67
4833,55
4933,60
5033,67
5133,35
5233,61
5333,67
5433,48
5533,14
5633,67
5733,12
5833,12
5933,29
6033,29
6133,48
6233,66
6333,65
6433,65
6533,39
6633,64
6733,64
6833,1
6933,94
7033,37
7133,37
7233,59
7333,48
7433,66
7533,86
7633,74
7733,35
7833,87
7933,72
8033,67
8133,68
8233,67
8333,68
8433,86
8533,87
8633,87
8733,68
8833,83
8933,85
9033,65
9133,65
9233,85
9333,85
9433,68
9533,68
9633,6
9733,6
9833,6
9933,6
10033,6
10133,6
10233,6
10333,6
10433,6
10533,6
10633,6
10733,6
10833,68
10933,68
11033,67
11133,71
11233,68
11333,69
11433,68
11533,67
11633,72
11733,62
11833,62
11933,61
12033,61
12133,62
12233,62
12333,62
12433,71
12533,61
12633,62
12733,62
12833,62
12933,62
13033,62
13133,62
13233,62
13333,34
13433,34
13533,35
13633,58
13733,84
13833,84
13933,73
14033,73
14133,53
14233,67
14333,75
14433,38
14533,5
14633,1
14733,1
14833,6
14933,6
15033,6
15133,0
15233,0
15333,6
15433,6
15533,6
15633,6
15733,5
15833,6
15933,6
16033,6
16133,6
16233,5
16333,4
16433,75
16533,35
16633,65
16733,15
16833,55
16933,3
17033,11
17133,12
17233,67
17333,87
17433,76
17533,75
17633,85
17733,3
17833,77
17933,37
18033,85
18166,98
18266,13
18366,37
18466,13
18600,99
18700,76
18800,38
18900,94
19033,98
19133,38
19233,38
19333,37
19433,16
19533,76
19633,5
19733,17
19833,38
19933,5
20033,5
20133,60
20233,57
20333,38
20433,35
20533,65
20633,16
20733,38
20833,14
20933,13
21033,100
21133,98
21233,38
21333,38
21433,100
21533,98
21633,38
21733,38
21833,38
21933,89
22033,76
22133,38
22233,85
22333,94
22433,94
22533,69
22633,51
22866,5
22966,62
23066,62
23166,63
23266,5
24700,90
24800,90
24933,90
