時間(ms),X座標(px),Y座標(px),移動量(px),原点からの距離(px)
533,346,488,0.0,598.21
633,190,383,188.05,427.54
733,442,619,345.25,760.61
833,190,19,650.77,190.95
933,188,779,760.0,801.36
1033,327,875,168.93,934.11
1200,344,496,379.38,603.62
1333,348,446,50.16,565.7
1433,440,616,193.3,757.0
1533,197,12,651.05,197.37
1633,566,832,899.2,1006.27
1733,410,458,405.23,614.71
1833,55,161,462.85,170.14
1933,115,846,687.62,853.78
2033,211,799,106.89,826.39
2133,689,182,780.5,712.63
2233,674,172,18.03,695.6
2333,51,145,623.58,153.71
2433,49,163,18.11,170.21
2533,41,134,30.08,140.13
2633,167,71,140.87,181.47
2733,444,618,613.14,760.96
2833,164,22,658.5,165.47
2933,187,785,763.35,806.97
3033,47,142,658.06,149.58
3133,48,158,16.03,165.13
3233,675,762,870.6,1017.97
3333,605,829,96.9,1026.29
3433,489,363,480.22,609.01
3533,423,1093,732.98,1172.0
3633,229,941,246.45,968.46
3733,370,475,486.86,602.1
3833,378,482,10.63,612.54
3933,768,814,512.18,1119.12
4033,605,830,163.78,1027.1
4133,394,1100,342.67,1168.43
4233,755,1199,374.33,1416.91
4333,235,944,579.16,972.81
4433,415,449,526.71,611.41
4533,349,509,89.2,617.16
4633,59,914,498.12,915.9
4733,347,857,293.59,924.59
4833,635,707,324.72,950.3
4933,711,766,96.21,1045.12
5033,570,851,164.64,1024.26
5133,476,453,408.95,657.1
5233,160,781,455.46,797.22
5333,348,861,204.31,928.67
5433,452,621,261.56,768.08
5533,699,187,499.36,723.58
5633,568,852,677.78,1023.98
5733,48,157,868.0,164.17
5833,50,164,7.28,171.45
5933,679,371,662.19,773.75
6033,678,372,1.41,773.35
6133,448,621,338.97,765.73
6233,775,837,391.9,1140.7
6333,770,827,11.18,1129.97
6433,770,828,1.0,1130.7
6533,348,501,533.87,610.0
6633,746,818,508.82,1107.09
6733,744,820,2.83,1107.22
6833,133,20,1006.64,134.5
6933,116,1195,1175.12,1200.62
7033,370,473,765.38,600.52
7133,370,480,7.0,606.05
7233,634,752,379.05,983.6
7333,719,614,162.08,945.49
7433,612,836,246.44,1036.07
7533,418,1097,325.2,1173.94
7633,236,946,236.48,974.99
7733,407,457,518.04,611.96
7833,423,1104,647.2,1182.26
7933,286,922,227.8,965.34
8033,349,861,87.69,929.04
8133,359,864,10.44,935.62
8233,571,853,212.29,1026.47
8333,323,863,248.2,921.47
8433,365,1098,238.72,1157.08
8533,374,1111,15.81,1172.26
8633,411,1110,37.01,1183.65
8733,281,862,280.01,906.64
8833,618,1060,390.86,1227.0
8933,391,1079,227.79,1147.66
9033,606,834,325.96,1030.92
9133,607,834,1.0,1031.51
9233,608,1084,250.0,1242.87
9333,393,1085,215.0,1153.98
9433,282,864,247.31,908.86
9533,283,866,2.24,911.07
9633,664,82,871.67,669.04
9733,680,87,16.76,685.54
9833,684,90,5.0,689.9
9933,682,91,2.24,688.04
10033,685,91,3.0,691.02
10133,692,92,7.07,698.09
10233,693,92,1.0,699.08
10333,688,89,5.83,693.73
10433,683,87,5.39,688.52
10533,682,87,1.0,687.53
10633,683,86,1.41,688.39
10733,680,82,5.0,684.93
10833,284,868,880.12,913.28
10933,285,870,2.24,915.49
11033,569,857,284.3,1028.69
11133,675,910,118.51,1133.02
11233,285,873,391.75,918.34
11333,286,875,2.24,920.55
11433,354,873,68.03,942.04
11533,574,857,220.58,1031.47
11633,660,920,106.61,1132.25
11733,259,787,422.48,828.52
11833,262,786,3.16,828.52
11933,263,779,7.07,822.2
12033,263,782,3.0,825.04
12133,262,787,5.1,829.47
12233,240,793,22.8,828.52
12333,244,789,5.66,825.87
12433,695,906,465.93,1141.87
12533,263,783,449.17,825.99
12633,263,791,8.0,833.58
12733,263,791,0.0,833.58
12833,264,787,4.12,830.1
12933,264,789,2.0,832.0
13033,263,793,4.12,835.47
13133,235,794,28.02,828.05
13233,230,791,5.83,823.76
13333,493,441,437.8,661.46
13433,492,443,2.24,662.05
13533,490,447,4.47,663.26
13633,363,743,322.09,826.93
13733,624,1067,416.05,1236.07
13833,625,1068,1.41,1237.44
13933,46,928,595.69,929.14
14033,47,926,2.24,927.19
14133,618,682,620.95,920.35
14233,789,850,239.72,1159.75
14333,231,950,566.89,977.68
14433,387,488,487.63,622.83
14533,673,73,504.0,676.95
14633,163,20,512.75,164.22
14733,165,22,2.83,166.46
14833,678,83,516.61,683.06
14933,687,90,11.4,692.87
15033,688,87,3.16,693.48
15133,174,18,518.61,174.93
15233,186,18,12.0,186.87
15333,691,82,509.04,695.85
15433,696,91,10.3,701.92
15533,696,93,2.0,702.19
15633,693,86,7.62,698.32
15733,689,81,6.4,693.74
15833,692,83,3.61,696.96
15933,696,91,8.94,701.92
16033,695,93,2.24,701.19
16133,690,87,7.81,695.46
16233,681,75,15.0,685.12
16333,677,65,10.77,680.11
16433,237,951,989.24,980.09
16533,471,458,545.72,656.97
16633,639,828,406.35,1045.9
16733,718,206,627.0,746.97
16833,636,704,504.71,948.74
16933,30,56,887.21,63.53
17033,49,154,99.82,161.61
17133,50,164,10.05,171.45
17233,256,851,717.22,888.67
17333,427,1110,310.36,1189.3
17433,256,968,222.27,1001.28
17533,223,956,35.11,981.66
17633,269,1080,132.26,1113.0
17733,35,47,1059.17,58.6
17833,502,978,1041.56,1099.31
17933,374,483,511.28,610.87
18033,280,1087,611.27,1122.48
18166,518,1245,285.67,1348.46
18266,66,179,1157.87,190.78
18366,406,480,454.09,628.68
18466,64,175,458.25,186.34
18600,344,1254,1114.74,1300.33
18700,255,972,295.71,1004.89
18800,402,485,508.7,629.94
18900,320,1195,714.72,1237.1
19033,519,1247,205.68,1350.69
19133,372,485,776.05,611.24
19233,382,486,10.05,618.16
19333,355,483,27.17,599.43
19433,718,214,451.81,749.21
19533,256,971,886.84,1004.18
19633,668,74,987.09,672.09
19733,724,224,160.11,757.86
19833,355,484,451.4,600.23
19933,671,74,517.64,675.07
20033,675,79,6.4,679.61
20133,717,771,693.27,1052.87
20233,653,730,76.01,979.44
20333,795,490,278.86,933.88
20433,485,450,312.57,661.61
20533,637,826,405.56,1043.09
20633,717,207,624.15,746.28
20733,362,493,455.87,611.63
20833,55,186,434.16,193.96
20933,53,172,14.14,179.98
21033,669,1268,1257.25,1433.66
21133,518,1248,152.32,1351.23
21233,382,486,774.04,618.16
21333,385,489,4.24,622.37
21433,242,1270,793.98,1292.85
21533,518,1248,276.88,1351.23
21633,384,487,772.71,620.18
21733,384,488,1.0,620.97
21833,358,492,26.31,608.46
21933,454,1127,642.22,1215.01
22033,488,968,162.59,1084.05
22133,367,485,497.93,608.21
22233,270,1077,599.89,1110.33
22333,308,1194,123.02,1233.09
22433,319,1194,11.0,1235.88
22533,115,878,376.13,885.5
22633,27,648,246.26,648.56
22866,175,80,586.97,192.42
22966,154,795,715.31,809.78
23066,156,795,2.0,810.16
23166,150,800,7.81,813.94
23266,174,81,719.4,191.93
24700,436,1143,1093.84,1223.33
24800,433,1141,3.61,1220.4
24933,434,1143,2.24,1222.62
